<string>信念開啟新世界大門
<string>獵人某天收到了潔瑪的邀約。她提議舉辦<lf>比賽，由各小隊製作適合自家獵人的外觀<lf>裝備，比拼一番。各人心懷信念投入比賽，<lf>「打開新世界大門！最適合我家獵人的裝備<lf>大作戰！」就此揭幕！
<string>在個人帳篷換上指定的外觀裝備
<string>前往<REF RefEnvironment_0000_0000>向潔瑪報告
<string>製作血刺蟲眼鏡α/β<ICON EQUIP_TYPE2>
<string>製作希望鎧甲α<ICON EQUIP_TYPE2>
<string>製作職員護腕α<ICON EQUIP_TYPE1>
<string>製作纏蛙腰甲α/β<ICON EQUIP_TYPE2>
<string>製作棘鰭龍護腿α/β<ICON EQUIP_TYPE2>
<string>將血刺蟲眼鏡α<ICON EQUIP_TYPE2>設為外觀
<string>將希望鎧甲α<ICON EQUIP_TYPE2>設為外觀
<string>將職員護腕α<ICON EQUIP_TYPE1>設為外觀
<string>將纏蛙腰甲α<ICON EQUIP_TYPE2>設為外觀
<string>將棘鰭龍護腿α<ICON EQUIP_TYPE2>設為外觀
