<string>新世界的大门
<string>某日，猎人收到杰玛的邀请。她提议，各小<lf>队为各自猎人打造最合适的外观装备，一较<lf>高下。怀揣各自的点子，“打开新世界的大<lf>门，最潮猎人大作战！”就此拉开帷幕！
<string>在个人帐篷中换上指定的外观装备
<string>前往<REF RefEnvironment_0000_0000>向杰玛报告
<string>制作血盗虫眼镜α／β<ICON EQUIP_TYPE2>
<string>制作希望铠甲α<ICON EQUIP_TYPE2>
<string>制作职员腕甲α<ICON EQUIP_TYPE1>
<string>制作缠蛙腰甲α／β<ICON EQUIP_TYPE2>
<string>制作锯带龙护腿α／β<ICON EQUIP_TYPE2>
<string>将血盗虫眼镜α<ICON EQUIP_TYPE2>设为外观
<string>将希望铠甲α<ICON EQUIP_TYPE2>设为外观
<string>将职员腕甲α<ICON EQUIP_TYPE1>设为外观
<string>将缠蛙腰甲α<ICON EQUIP_TYPE2>设为外观
<string>将锯带龙护腿α<ICON EQUIP_TYPE2>设为外观
