<string>...canna pesca...
<string>...caricare...
<string>...mordere...
<string>...andare...tana pesce...
<string>...esca...pesce...
<string>...graz...ie...
<string>...tana pesce...signore, zona cibo...<lf>...attenzione...
<string>...pesce-mastodonte.
<string>...così calmo...
<string>...preso niente...
<string>...è...momento.<lf>...alla fonte...
<string>...squa...dra...
<string>...pesca...divertente per...tu?
<string>...ah<lf>...oggi...fortuna.
<string>...spero...prendere tanti.
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC320_12_006_Conversation_300_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC320_12_006_Conversation_301_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC320_12_006_Conversation_302_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC320_12_006_Conversation_303_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC320_12_006_Conversation_304_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC320_12_006_Conversation_305_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC320_12_006_Conversation_306_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC320_12_006_Conversation_307_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC320_12_006_Conversation_308_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC320_12_006_Conversation_309_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC320_12_006_Conversation_310_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC320_12_006_Conversation_311_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC320_12_006_Conversation_312_t01
